level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
k__Bacteria;p__OP1,k__Bacteria;p__Actinobacteria;c__Coriobacteriia,k__Bacteria;p__[Caldithrix];c__KSB1;o__Ucn15732,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Vulcanisaeta
k__Bacteria;p__OP11,k__Bacteria;p__Actinobacteria;c__KIST-JJY010,k__Bacteria;p__[Caldithrix];c__KSB1;o__WM105,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__F99a103;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__;g__
k__Bacteria;p__OP3,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__A13;g__
k__Bacteria;p__OP8,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria,k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae,k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__YNPFFA;f__SK322;g__
k__Bacteria;p__OP9,k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__AC1;c__;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__,k__Archaea;p__Crenarchaeota;c__THSCG;o__;f__;g__
k__Bacteria;p__PAUC34f,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__AC1;c__B04R032;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__D002025C03,k__Archaea;p__Euryarchaeota;c__ANME-1;o__;f__;g__
k__Bacteria;p__Planctomycetes,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__AC1;c__HDBW-WB69;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae,k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__
k__Bacteria;p__Poribacteria,k__Bacteria;p__AD3;c__,k__Bacteria;p__AC1;c__SHA-114;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae,k__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus
k__Bacteria;p__Proteobacteria,k__Bacteria;p__AD3;c__ABS-6,k__Bacteria;p__AC1;c__TA06;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae,k__Archaea;p__Euryarchaeota;c__DSEG;o__;f__;g__
k__Bacteria;p__SAR406,k__Bacteria;p__AD3;c__JG37-AG-4,k__Bacteria;p__Acidobacteria;c__;o__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae,k__Archaea;p__Euryarchaeota;c__DSEG;o__104A5;f__;g__
